Engleza,Romana
Tom has a message for John from Mary.,Tom are un mesaj pentru John de la Mary.
I'm no longer afraid.,Nu-mi mai e frică.
Give him the benefit of the doubt.,Oferă-i prezumţia de nevinovăţie.
Each room has its own bathroom.,Fiecare cameră are propria baie.
Leave the room as it is.,Lasă camera aşa cum e.
He has a good command of French.,El stăpânește bine franceza.
Can you teach me how to fly?,Mă poţi învăţa să zbor?
Nature is changing.,Natura se schimbă.
Who am I speaking to?,Cu cine vorbesc?
This factory manufactures automobile parts.,Această fabrică produce piese auto.
Can I ask a question?,Pot să pun o întrebare?
That's my boy.,Acesta e fiul meu.
Let's take a short cut.,Hai s-o luăm pe scurtătură.
I wasn't the one who told you that.,Nu am fost eu cel care ți-a spus asta.
"No matter what you say, I won't give up.","Indiferent ce spui, eu nu voi renunța."
He took a picture.,El a făcut o poză.
Seemingly impossible things sometimes happen.,"Se pare că, uneori, se întâmplă lucruri imposibile."
They were there.,Ei erau acolo.
Tom leaned on his cane.,Tom s-a sprijinit în baston.
Tom had never met anyone like Mary before.,Tom n-a mai întâlnit înainte pe nimeni ca Mary.
Tom tried to reassure Mary.,Tom încercat să o liniștească pe Mary.
My name's Tom.,Numele meu este Tom.
I felt cold.,Îmi este frig.
They were mostly women.,Erau majoritatea femei.
Do you like anchovies?,Îți place anșoa?
You ran a red light.,Ai trecut pe roșu.
The international space station is an amazing feat of engineering.,Stația spațială internațională este o realizare remarcabilă de inginerie.
I've never forgotten Tom's birthday.,N-am uitat niciodată ziua de naștere a lui Tom.
Who's paying for the food?,Cine plătește pentru mâncare?
Allow me to elucidate.,Permite-mi să clarific.
Most people write about their daily life.,Majoritatea oamenilor scriu despre viața lor zilnică.
I watch television with my daughter.,Mă uit cu fetita mea la televizor.
You may go home now.,Poți pleca acasă acum.
I got on the wrong train.,M-am urcat în trenul greșit.
My father died of cancer.,Tatăl meu a murit de cancer.
I watched a great movie yesterday.,M-am uitat la un film grozav ieri.
How long have Tom and Mary been together?,Cât timp au fost Tom și Mary împreună?
I didn't mean to deceive you.,Nu am vrut să te înșel.
She cooks very well.,Ea gătește foarte bine.
He can't be an honest man.,Nu poate fi un om cinstit.
It is difficult to overcome this shortcoming without drastically changing the whole system.,"Fără modificarea drastică a întregului sistem, acest cusur este greu de depășit."
He was accused of cowardice.,El a fost acuzat de lașitate.
He can also speak French.,El poate să vorbească și franceza.
The economy of Japan is still stable.,Economia Japoniei este încă stabilă.
It's not a coincidence.,Nu este o coincidență.
The problem has arisen simply because you didn't follow my instructions.,Problema a apărut din simplul motiv că tu nu mi-ai urmat instrucțiunile.
Are you busy?,Eşti ocupat?
The reasons are as follows.,Motivele sunt precum urmează.
Why would they subpoena you?,De ce te-ar cita în instanță?
"When the fire broke out, he was sound asleep.","Când a izbucnit focul, el dormea tun."
Can you reach the top shelf?,Poți să ajungi la raftul de sus?
Why do you study English every day?,De ce studiezi engleză în fiecare zi?
You two are really kind.,Voi doi sunteți într-adevăr amabili.
I ordered them to leave the room.,Le-am ordonat să părăsească încăperea.
My sister is pretty.,Sora mea e drăguță.
The importation of rare wild animals to this country is strictly prohibited.,Importul animalelor sălbatice rare în această ţară este strict interzis.
I'm crazy about American football.,Sunt pasionat de fotbalul american.
"Tom is my age, or maybe a little younger.",Tom e de vârsta mea sau poate e puțin mai mic.
I was very scared of snakes.,Mi-era foarte teamă de şerpi.
She can make all her own clothes.,Îşi poate face toate hainele proprii.
We looked for it high and low.,L-am căutat peste tot.
You're going too far.,Mergi prea departe.
Can you drive a car?,Poți să conduci o mașină?
I have to iron my shirt.,Trebuie să îmi calc cămașa.
I'm not interested in modern art.,Nu sunt interesat de arta contemporană.
Her face turned pale.,Faţa ei s-a albit.
I'm thinking of writing a book.,Mă gândesc să scriu o carte.
Where's the remote?,Unde este telecomanda?
I am looking for my glasses.,Îmi caut ochelarii.
They won't believe us.,Ei nu ne vor crede.
What qualities do you most admire in Tom?,Ce calități admiri cel mai mult la Tom?
More and more people promised to support him.,Din ce în ce mai mulţi oameni promiteau să-l susţină.
How is it at school?,Cum este la școală?
He has his own room.,El are propria sa cameră.
Tom doesn't know where Mary graduated from.,Tom nu știe unde a absolvit Mary.
Clay did not agree with all of Adams's policies.,Clay nu a fost de acord cu toate politicile lui Adams.
He told me he wanted to quit the company.,Mi-a spus că vrea să plece din companie.
The meeting dragged on.,Întâlnirea s-a prelungit.
Can you come tomorrow?,Poți veni mâine?
I'm supposed to be in bed.,Trebuia să fiu în pat.
I can't believe that you made Tom cry.,Nu-mi vine să cred că l-ai făcut pe Tom să plângă.
It's a piece of cake.,E floare la ureche.
I need an ashtray.,Am nevoie de o scrumieră.
Tom lay awake almost all night thinking about Mary.,Tom a stat treaz aproape toată noaptea gândindu-se la Mary.
Maybe that'll be enough.,Poate că asta va fi îndeajuns.
She flared up with anger.,Ea a izbucnit furioasă.
She lived with him all her life.,Ea a locuit cu el toată viața ei.
"It is restful, isn't it?","E odihnitor, nu-i aşa?"
I wouldn't be too surprised if Tom didn't show up on time.,Nu aș fi foarte mirat dacă Tom nu ar veni la timp.
Tom acted as the boss whenever the boss wasn't around.,Tom făcea pe șeful de câte ori șeful nu era prin preajmă.
When was the last time you hung out with Tom?,Când a fost ultima dată când ai umblat cu Tom?
"At the start of every weekend, I am both tired and happy.",La începutul fiecărui sfârşit de săptămână sunt în acelaşi timp obosit şi bucuros.
I don't belong to any club.,Nu aparțin niciunui club.
Tom was a terrible teacher.,Tom a fost un profesor groaznic.
I thought Tom was nice.,Am crezut că Tom era bun.
Tom doesn't like hot food.,Lui Tom nu-i place mâncarea fierbinte.
She complained about my low salary.,Ea s-a plâns de salariul meu mic.
I need somebody.,Am nevoie de cineva.
Tom had no chance to tell Mary his opinion.,Tom nu a avut nicio șansă să-i spună lui Mary opinia sa.
He got up at five as usual.,S-a trezit la cinci ca de obicei.
"Tom is unassuming, isn't he?","Tom este modest, nu-i așa?"
He gave me a wink.,El mi-a făcut cu ochiul.
We don't want to do that.,Nu vrem să facem asta.
I didn't do that either.,Nu am făcut nici asta.
Could I borrow a pencil?,Aș putea împrumuta un creion?
Just give me something to ease the pain.,Doar dă-mi ceva pentru a calma durerea.
You've got to learn to hold your tongue.,Trebuie să înveți să îți ții gura.
I still write poems.,Încă mai scriu poezii.
"Above all, logic requires precise definitions.","Mai presus de toate, logica necesită definiții precise."
"Hold still for a moment, please.","Stai nemişcat pentru o clipă, te rog."
His conduct was admirable.,Conduita lui era admirabilă.
Tom is unbeatable.,Tom este de neînvins.
Tom doesn't like to be alone.,Lui Tom nu-i place să fie singur.
Tom pleaded guilty to misdemeanor drunken driving charges in New York.,Tom a pledat vinovat pentru acuzațiile de conducere sub influența alcoolului.
"It's not much of a surprise, is it?","Nu e cine știe ce surpriză, nu-i așa?"
You need to wash this shirt.,Trebuie să speli această cămașă.
I think maybe Tom needs me.,Cred că poate Tom are nevoie de mine.
Who wrote these poems?,Cine a scris aceste poezii?
I finally graduated from junior high school.,În sfârșit am absolvit liceul.
I don't remember what his name is.,Nu-mi amintesc care este numele lui.
Have you come to save me?,Ai venit să mă salvezi?
Where is my book?,Unde e cartea mea?
He cut his finger with the knife.,Şi-a tăiat degetul cu cuţitul.
Tom thinks the plan may backfire.,Tom crede ca planul ar putea avea efecte nedorite.
I wanted to know what had happened.,Voiam să știu ce s-a întâmplat.
Stay out of sight.,Stai în afara razei vizuale.
I don't understand English.,Nu înţeleg engleza.
Tom wore a vest.,Tom purta o vestă.
Tom became very suspicious.,Tom a devenit foarte suspicios.
I found it rather difficult to make myself understood.,Am aflat că e cam dificil să mă fac înțeles.
"Since Tom was speaking in French, I couldn't understand what he was saying.","Pentru că Tom vorbea în franceză, nu am putut înţelege ce spunea."
He acted as my guide.,El a făcut pe ghidul pentru mine.
The early bird gets the worm.,Cine se scoală de dimineaţă departe ajunge.
"I ate dinner last night, but I don't think Tom did.","Eu am luat cina aseară, dar nu cred că Tom a luat-o."
Tom had a good opinion of Mary.,Tom avea o opinie bună despre Mary.
The little boy hung his head and said nothing.,Băieţelul şi-a lăsat capul în piept şi n-a spus nimic.
The professor smiled.,Profesoara a zâmbit.
She was a pioneer in this field.,A fost pionier în acest domeniu.
The person I look forward to working with is Tom.,Persoana cu care aștept să lucrez cu nerăbdare este Tom.
I wanted to become a philosopher.,Voiam să devin filozof.
It doesn't matter what she said.,Nu contează ceea ce ea a spus.
McKinley spent three-and-a-half-million dollars.,McKinley a cheltuit trei milioane și jumătate de dolari.
He went through many hardships in his youth.,El a trecut prin multe greutăți în tinerețe.
I need to study.,Trebuie să studiez.
These gloves are Tom's.,Aceste mănuși sunt ale lui Tom.
It can't be!,Nu se poate!
Maybe I should come back another time.,Poate că ar trebui să mă întorc altă dată.
He used to come to see me on Sunday.,Obişnuia să vină să mă vadă duminica.
Tom died from lack of oxygen.,Tom a murit din cauza lipsei de oxigen.
I think it's unhealthy to eat more than 20 oranges a day.,Cred că e nesănătos să mănânci mai mult de douăzeci de portocale pe zi.
I fell asleep.,Am adormit.
He can play a flute.,El știe să cânte la flaut.
Please tell me your address.,Te rog spune-mi adresa ta.
I'm ashamed of you.,Mi-e rușine de tine.
Everyone says the view from here is beautiful.,Toți spun că priveliștea de aici e frumoasă.
Tom looks older than he really is.,Tom arată mai în vârstă decât în realitate.
Tom should know better.,Tom ar trebui să știe mai bine.
That could come in handy someday.,Acel lucru ar putea fi util într-o zi.
Judge Parker had no chance to win the election.,Judecătorul Parker nu a avut vreo şansă să câştige alegerile electorale.
Tom put the thermometer in his mouth.,Tom şi-a pus termometrul în gură.
I thought Tom was lost.,Am crezut că Tom s-a pierdut.
Mary's my niece.,Mary este nepoata mea.
"The check, please.","Nota de plată, vă rog."
I know very little about him.,Știu prea puțin despre el.
He's fresh out of college.,El a absolvit recent facultatea.
Who put you up to it?,Cine te-a pus să faci asta?
Who's on duty today?,Cine e de pază azi?
Lithuania is a member of the European Union.,Lituania este membră a Uniunii Europene.
"Tom laughed at all of Mary's jokes, even the ones he didn't think were funny.","Tom a râs la toate glumele Mariei, chiar și la cele pe care nu le credea hazlii."
Let them take care of themselves.,Lasă-i să aibă grijă de ei înșiși.
Just follow your heart.,Urmează-ți inima.
"You may think your comment was innocuous, but I found it very offensive.","Este posibil să crezi că, comentariul tău a fost inofensiv, dar mie mi s-a părut foarte ofensator."
One year has twelve months.,Un an are douăsprezece luni.
Stainless steel doesn't rust.,Oțelul inoxidabil nu ruginește.
I'll do my best not to disturb your studying.,Îmi voi da silința să nu te deranjez când studiezi.
She went to see him the other day.,Ea s-a dus să-l vadă zilele trecute.
This television set is heavy.,Acest televizor e greu.
